id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude
"id_shop_ce986afe7b3d8c4e85cb70c099a517ec","ce986afe7b3d8c4e85cb70c099a517ec","ラウンドワン函館店","函館市西桔梗町848-11","産業道路 西桔梗町 函館中央自動車学校様隣","0138-49-8401","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","41.82459206 140.7173548"
"id_shop_cda8cddd4c62b131fb0fd872ef64733b","cda8cddd4c62b131fb0fd872ef64733b","GiGO北見","北見市西三輪5-1-16","国道39号 大雪大通沿い","080-7437-9057","10:00～24:00","無し","43.79655355 143.8426866"
"id_shop_f21a05c7b71feb4159d619675597dcb5","f21a05c7b71feb4159d619675597dcb5","タイトーステーション千歳店","千歳市北栄2-12-5","千歳駅から札幌方面に徒歩10分","0123-42-4195","10:00-24:00","無し","42.833396 141.6439587"
"id_shop_353a4a59d5eccd8f0ffe4e5d17e5ee49","353a4a59d5eccd8f0ffe4e5d17e5ee49","GiGOドリームタウン白樺","帯広市白樺16条西2ドリームタウン白樺内","ドリームタウン白樺内","080-7422-4566","9:00～翌3:00","無し","42.91947724 143.174195"
"id_shop_3186d44da4e74d9fca68ccff7b53f93b","3186d44da4e74d9fca68ccff7b53f93b","GiGO帯広稲田","帯広市稲田町南8線西12-1スズランボウル内","イトーヨーカドー帯広店隣り","080-7351-3976","平日・祝日10:00～24:00 / 土日8:00～24:00","無し","42.89057652 143.1965812"
"id_shop_738ffe41ad62806df859bf02a92bd875","738ffe41ad62806df859bf02a92bd875","ソユーゲームフィールド旭川駅前店","旭川市宮下通7-2-5イオンモール旭川駅前4F","","0166-21-3737","","","43.76416142 142.3578766"
"id_shop_8bca737af6c3cb0eeff2a69403329f86","8bca737af6c3cb0eeff2a69403329f86","ラウンドワン旭川店","旭川市永山3条1-4-7","国道39号 永山3条1丁目","0166-49-5071","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","43.78651521 142.397308"
"id_shop_b8c2d2d06b5f9473b61bd91f4a16e769","b8c2d2d06b5f9473b61bd91f4a16e769","タイトーステーション札幌狸小路2丁目店","札幌市中央区南三条西2-14ニコービル","","011-213-1115","","","43.05729 141.355525"
"id_shop_a653d257079fbce7e8d6596e1bbc4e5a","a653d257079fbce7e8d6596e1bbc4e5a","ラウンドワン札幌すすきの店","札幌市中央区南五条西3-6-1札幌東宝公楽ビル","札幌市営地下鉄「すすきの駅」「豊水すすきの駅」より徒歩約2分","011-520-1022","6:00～23:50","無し","43.05431311 141.3540587"
"id_shop_d8e76ce0023e0618a16c6dddef77cfef","d8e76ce0023e0618a16c6dddef77cfef","GiGO札幌駅西口","札幌市北区北6条西6-1-1WEST6","","080-7173-6552","","","43.06749301 141.3465097"
"id_shop_b61d109b6b4301a5c9ba5d5c01b24a6c","b61d109b6b4301a5c9ba5d5c01b24a6c","カラオケルームキャッツアイ新札幌店","札幌市厚別区厚別東5条1-2-10","JR、札幌市営地下鉄新札幌駅下車徒歩20分","011-899-1500","10:00～24:00","無し","43.04493545 141.4754191"
"id_shop_a5d5ffbfdb8c704beb756277ec8e5c38","a5d5ffbfdb8c704beb756277ec8e5c38","GiGO西友手稲","札幌市手稲区前田1条11西友手稲店3F","西友手稲店3F","080-7127-7065","ゲームコーナー9:00～26:00 / メダルコーナー9:00～24:00","無し","43.12045749 141.2452406"
"id_shop_de967e1a41eac5fe2fdab8175c2c02be","de967e1a41eac5fe2fdab8175c2c02be","ラウンドワン札幌北21条店","札幌市東区北21条東1-1-21","[市営地下鉄南北線 北24条駅] 南北線北24条駅2番出口より北24条通り東へ430m。創成川通り(石狩街道)を東へ470m  徒歩約15分","011-733-8801","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","43.08681907 141.3495671"
"id_shop_3c6777c2d90eca527854deba4ab6adb6","3c6777c2d90eca527854deba4ab6adb6","ラウンドワン札幌白石本通店","札幌市白石区本通-16-北1-50","札幌市営地下鉄東西線「南郷18丁目」駅より徒歩約10分","011-865-8051","10:00～24:00","無し","43.03673108 141.4328227"
"id_shop_0f68b61c0d923cfed022c9b885321983","0f68b61c0d923cfed022c9b885321983","ソユーゲームフィールド発寒店","札幌市西区発寒8条12-1-1イオンモール札幌発寒3F","イオン札幌発寒ショッピングセンター内3F","011-668-6050","9:00～22:00","","43.09520428 141.2779132"
"id_shop_b83456d708c4830eaba66358a59f3ded","b83456d708c4830eaba66358a59f3ded","GiGOイオンモール苫小牧","苫小牧市柳町3-1-20イオンモール苫小牧2F","JR苫小牧駅よりバス20分","0144-52-1212","ゲームコーナー9:00～24:00 / メダルコーナー9:00～23:30","無し","42.65619751 141.6419704"
