id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude
"id_shop_ce986afe7b3d8c4e85cb70c099a517ec","ce986afe7b3d8c4e85cb70c099a517ec","ラウンドワン函館店","函館市西桔梗町848-11","産業道路 西桔梗町 函館中央自動車学校様隣","0138-49-8401","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_f21a05c7b71feb4159d619675597dcb5","f21a05c7b71feb4159d619675597dcb5","タイトーステーション千歳店","千歳市北栄2-12-5","千歳駅から札幌方面に徒歩10分","0123-42-4195","10:00-24:00","無し","42.833396 141.6439587"
"id_shop_353a4a59d5eccd8f0ffe4e5d17e5ee49","353a4a59d5eccd8f0ffe4e5d17e5ee49","ディノスパーク帯広","帯広市白樺16条西2ドリームタウン白樺内","ドリームタウン白樺内","0155-38-2811","9:00～翌3:00","無し","42.91947724 143.174195"
"id_shop_8bca737af6c3cb0eeff2a69403329f86","8bca737af6c3cb0eeff2a69403329f86","ラウンドワン旭川店","旭川市永山3条1-4-7","国道39号 永山3条1丁目","0166-49-5071","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_b8c2d2d06b5f9473b61bd91f4a16e769","b8c2d2d06b5f9473b61bd91f4a16e769","タイトーステーション札幌狸小路2丁目店","札幌市中央区南三条西2-14ニコービル","","011-213-1115","","","43.05729 141.355525"
"id_shop_a653d257079fbce7e8d6596e1bbc4e5a","a653d257079fbce7e8d6596e1bbc4e5a","ラウンドワン札幌すすきの店","札幌市中央区南五条西3-6-1札幌東宝公楽ビル","札幌市営地下鉄「すすきの駅」「豊水すすきの駅」より徒歩約2分","011-520-1022","6:00～23:50","無し","43.05431311 141.3540587"
"id_shop_d8e76ce0023e0618a16c6dddef77cfef","d8e76ce0023e0618a16c6dddef77cfef","MAXIM HERO","札幌市北区北6条西6-1-1","","011-219-2855","","",""
"id_shop_a5d5ffbfdb8c704beb756277ec8e5c38","a5d5ffbfdb8c704beb756277ec8e5c38","ディノスパーク札幌手稲","札幌市手稲区前田1条11西友手稲店3F","西友手稲店3F","011-699-2201","ゲームコーナー9:00～26:00 / メダルコーナー9:00～24:00","無し",""
"id_shop_de967e1a41eac5fe2fdab8175c2c02be","de967e1a41eac5fe2fdab8175c2c02be","ラウンドワン札幌北21条店","札幌市東区北21条東1-1-21","[市営地下鉄南北線 北24条駅] 南北線北24条駅2番出口より北24条通り東へ430m。創成川通り(石狩街道)を東へ470m  徒歩約15分","011-733-8801","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","43.08681907 141.3495671"
"id_shop_3c6777c2d90eca527854deba4ab6adb6","3c6777c2d90eca527854deba4ab6adb6","ラウンドワン札幌白石本通店","札幌市白石区本通-16-北1-50","札幌市営地下鉄東西線「南郷18丁目」駅より徒歩約10分","011-865-8051","10:00～24:00","無し",""
"id_shop_b83456d708c4830eaba66358a59f3ded","b83456d708c4830eaba66358a59f3ded","ディノスパーク苫小牧","苫小牧市柳町3-1-20イオンモール苫小牧2F","JR苫小牧駅よりバス20分","0144-52-1212","ゲームコーナー9:00～24:00 / メダルコーナー9:00～23:30","無し","42.65619751 141.6419704"
"id_shop_d2a6165b5538848b71be8d4157c9185a","d2a6165b5538848b71be8d4157c9185a","ギャラクシーゲート星が浦","釧路市星が浦大通2-5","星が浦大通2丁目 バス停近く","0154-52-0099","10:00～24:00","無し","43.014364 144.320172"
"id_shop_4cf50d6440cafda84b960a8159d61d89","4cf50d6440cafda84b960a8159d61d89","ユーズランド下田店","上北郡おいらせ町中野平40-1イオンモール下田1F","イオン下田SC1・2FJR下田駅よりバスで10分八戸市より車で約15km、三沢市より車で約15km","0178-50-3237","10:00～22:00","無し","40.60188383 141.4176032"
"id_shop_f857152de32c6da3f2deb458963e593c","f857152de32c6da3f2deb458963e593c","ラウンドワン青森店","青森市浜田3-1-1","青森自動車道 青森中央IC下車 浜田ドリームタウンアリー内","017-762-3591","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_818902a2b5381048708e16b4a9b92326","818902a2b5381048708e16b4a9b92326","チャットタウン北上店","北上市北鬼柳19地割71パルショッピングセンター2F","","0197-65-3929","","","39.2931265 141.0916951"
"id_shop_3dd7b45168bf9fa76dbb0f19e845bfed","3dd7b45168bf9fa76dbb0f19e845bfed","G3ポロスイオンタウン北上店","北上市里分4地割20-1","","0197-65-7888","9:00～24:00","無し",""
"id_shop_419e00954b9c358893e8041bb425d517","419e00954b9c358893e8041bb425d517","テクノワールド","奥州市江刺愛宕梁川127-1","","0197-47-3619","店舗にてご確認ください","無し","39.179225 141.162155"
"id_shop_82e3225247841c0b5f89c3ddc48e4c88","82e3225247841c0b5f89c3ddc48e4c88","タイトーステーション盛岡マッハランド店","盛岡市上堂1-2-38","国道4号線沿い、マッハランド内。","019-648-1408","10:00～24:00","無し","39.723902 141.126913"
"id_shop_2c446cb47c1959b6b7b387c541f5c8c4","2c446cb47c1959b6b7b387c541f5c8c4","ラウンドワン盛岡店","盛岡市盛岡駅西通2-10-35","盛岡駅 西口すぐ","019-654-9011","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_7a63d9a6a36ac7a0e27af2606daacd9f","7a63d9a6a36ac7a0e27af2606daacd9f","タイトーステーション仙台ベガロポリス店","仙台市太白区西多賀5-24-1","国道286号沿い、JR長町駅より車で10分","022-307-3685","10:00～24:00","無し","38.2198309 140.8461206"
"id_shop_4fd5b9951773260e25426acd35c387df","4fd5b9951773260e25426acd35c387df","ラウンドワン仙台苦竹店","仙台市宮城野区苦竹1-7-10","JR仙石線苦竹駅すぐ","022-788-2581","10:00～23:50 土日祝6:00～23:50","無し","38.26828399 140.9172614"
"id_shop_4849b02f89f69504e072941c1aa5dd5b","4849b02f89f69504e072941c1aa5dd5b","スーパーノバイオン仙台中山","仙台市泉区南中山1-35-57イオン仙台中山店別館3F","","022-347-3139","","","38.299061 140.828497"
"id_shop_874719677a4d433259d033e7f2de26c7","874719677a4d433259d033e7f2de26c7","GAME BANK","仙台市泉区大沢2-5-4","東北自動車道 泉インター直ぐ","022-776-5677","9:00～24:00","無し","38.352801 140.877385"
"id_shop_61ab9402ef3b52689fcfcbc2bcf04976","61ab9402ef3b52689fcfcbc2bcf04976","ゲームコーナー東部","仙台市若林区六丁の目中町26-60","六丁目の交差点より多賀城方面へ向かい車で5分。産業通り沿い。","022-287-5880","9:00～24:00","無し","38.25101621 140.9438974"
"id_shop_5949cea6aa4154f939b395b5b703f154","5949cea6aa4154f939b395b5b703f154","スーパーノバ仙台一番町","仙台市青葉区一番町4-5-13サンシャインビル1F","","022-393-6746","","","38.26424 140.87121"
"id_shop_3a9920918027b30c5689d603a7086f2c","3a9920918027b30c5689d603a7086f2c","タイトーステーション仙台名掛丁店","仙台市青葉区中央1-7-13","JR仙台駅・地下鉄仙台駅より徒歩5分(ハピナ名掛丁アケード内)","022-215-1664","9:00～24:00","無し","38.262028 140.879112"
"id_shop_90499a6a90ec437f76d8174a072f3dd1","90499a6a90ec437f76d8174a072f3dd1","タイトーステーション仙台クリスロード店","仙台市青葉区中央2-3-25","JR仙台駅・地下鉄仙台駅より徒歩8分(ハピナ名掛丁アーケード内)","022-262-2541","9:00～24:00","無し","38.261006 140.875705"
"id_shop_a9989061b8a0aa39ef93f479f8b6ff30","a9989061b8a0aa39ef93f479f8b6ff30","GiGO仙台","仙台市青葉区中央2-5-5三経60ビル","","022-211-1922","","","38.26181 140.87675"
