43.24413666 141.8054248,北海道,モーリーファンタジー三笠
41.77759696 140.7940587,北海道,モーリーファンタジー湯川
41.82459206 140.7173548,北海道,ラウンドワン函館店
41.82180269 140.7122673,北海道,モーリーファンタジー上磯
44.33843898 142.4525536,北海道,モーリーファンタジー名寄
43.77458909 142.3844768,北海道,モーリーファンタジー旭川パルプ
43.78651521 142.397308,北海道,ラウンドワン旭川店
43.79395811 142.3258751,北海道,モーリーファンタジー旭川西
43.723884 142.368924,北海道,遊ランド西御料店
43.06946033 141.3329163,北海道,モーリーファンタジー札幌桑園
43.05644251 141.3528308,北海道,GiGOすすきの
43.05431311 141.3540587,北海道,ラウンドワン札幌すすきの店
43.10740766 141.339721,北海道,モーリーファンタジー麻生
43.06749301 141.3465097,北海道,GiGO札幌駅西口
43.03898332 141.4724862,北海道,新さっぽろ店(ゲームコーナー)
43.04493545 141.4754191,北海道,キャッツアイ新札幌店
43.14225261 141.2335497,北海道,モーリーファンタジー手稲山口
43.08681907 141.3495671,北海道,ラウンドワン札幌北21条店
43.1014858 141.3683567,北海道,モーリーファンタジー札幌元町
43.08001605 141.4033171,北海道,モーリーファンタジー札幌苗穂
42.99707272 141.4585574,北海道,モーリーファンタジー札幌平岡
43.03673108 141.4328227,北海道,ラウンドワン札幌白石本通店
43.05217189 141.3853485,北海道,モーリーファンタジー東札幌
43.07670049 141.3028377,北海道,モーリーファンタジー札幌琴似
43.09663704 141.2768118,北海道,モーリーファンタジー札幌発寒
43.53540619 144.9776846,北海道,モーリーファンタジー中標津
43.09719169 141.5333123,北海道,PALO江別
43.55413227 141.931124,北海道,PALO滝川
42.3813255 141.0684675,北海道,モーリーファンタジー登別
43.15902379 141.3349275,北海道,モーリーファンタジー石狩緑苑台
44.00098836 144.2838377,北海道,PALO網走
42.65642671 141.6422502,北海道,モーリーファンタジー苫小牧
43.02661024 144.3598856,北海道,モーリーファンタジー釧路昭和
43.00901403 144.4046059,北海道,PALO釧路
40.801354 140.4174747,青森県,モーリーファンタジーつがる柏
41.2869745 141.1838083,青森県,PALOむつ
40.67503605 141.3629663,青森県,モーリーファンタジー三沢
40.60188383 141.4176032,青森県,ユーズランド下田店
40.60191503 141.419914,青森県,モーリーファンタジー下田
40.49220148 141.5096867,青森県,モーリーファンタジー八戸田向
40.76433062 140.4415756,青森県,モーリーファンタジー鶴田
40.60389303 141.2573891,青森県,モーリーファンタジー十和田
40.65677611 140.5021549,青森県,モーリーファンタジー藤崎
40.59061729 140.5676749,青森県,モーリーファンタジー平賀
40.79867718 140.7483213,青森県,ラウンドワン青森店
40.66656005 140.6016637,青森県,PALO黒石
38.9369453 141.1129569,岩手県,モーリーファンタジー一関
38.93993538 141.1528825,岩手県,モーリーファンタジースーパーセンター一関
40.1899195 141.7855839,岩手県,PALO久慈
39.28852263 141.1158799,岩手県,アミューズメントゾーン北上店
39.05229147 141.1295341,岩手県,モーリーファンタジー前沢
39.71119062 141.1004245,岩手県,モーリーファンタジー盛岡
39.68349461 141.1274127,岩手県,モーリーファンタジーイオン盛岡南
39.66193109 141.1481669,岩手県,モーリーファンタジーサンサ盛岡南
39.84998833 141.1727189,岩手県,モーリーファンタジー盛岡渋民
39.70035197 141.133077,岩手県,ラウンドワン盛岡店
39.33112968 141.531364,岩手県,モーリーファンタジー遠野
38.21966574 140.8377945,宮城県,モーリーファンタジー鈎取
38.22565173 140.8768793,宮城県,ゲームフィールド仙台長町店
38.25896857 140.883484,宮城県,モーリーファンタジーヨドバシ仙台
38.26828399 140.9172614,宮城県,ラウンドワン仙台苦竹店
38.298013 140.8257136,宮城県,モーリーファンタジー仙台中山
38.35192551 140.8797545,宮城県,ラウンドワンスタジアム仙台泉店
38.34267776 140.8361955,宮城県,PRIZE SPOT PALO泉パークタウンタピオ
38.25239885 140.9189487,宮城県,モーリーファンタジー仙台卸町
38.26424 140.87121,宮城県,GiGO仙台一番町
38.262028 140.879112,宮城県,タイトーステーション仙台名掛丁店
38.261006 140.875705,宮城県,タイトーステーション仙台クリスロード店
38.2769829 140.872882,宮城県,ゲームフィールド仙台上杉店
38.16385727 140.8961163,宮城県,モーリーファンタジー新名取
38.31862921 141.0245382,宮城県,モーリーファンタジー塩釜
38.28221541 141.0052828,宮城県,モーリーファンタジー多賀城
38.56724158 140.9728398,宮城県,モーリーファンタジー古川
38.32758767 140.9717845,宮城県,アピナ新利府北館店
38.32801132 140.9756135,宮城県,GiGO利府
38.3217593 140.9720646,宮城県,モーリーファンタジー利府
38.36528256 140.8765988,宮城県,アピナ富谷店
38.36477285 140.8751345,宮城県,モーリーファンタジー富谷
38.065153 140.737021,宮城県,ユーズランド大河原店
38.7489824 141.0681417,宮城県,モーリーファンタジー栗原志波姫
38.88902227 141.5729619,宮城県,モーリーファンタジー気仙沼
38.42802906 141.3760622,宮城県,モーリーファンタジー石巻東
38.44783117 141.2661156,宮城県,モーリーファンタジー石巻
38.53703904 141.1476279,宮城県,モーリーファンタジー涌谷
39.55096076 140.5514947,秋田県,モーリーファンタジー中仙
39.43768663 140.5092806,秋田県,モーリーファンタジー大曲
40.28593829 140.5761054,秋田県,モーリーファンタジー大館
