id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude,data-longitude,pref
"id_shop_127554a6fdba7b77809594c8dab2695d","127554a6fdba7b77809594c8dab2695d","モーリーファンタジー三笠","三笠市岡山1059-1イオンスーパーセンター三笠1F","","070-3100-7326","","","43.24413666 141.8054248","北海道"
"id_shop_509c6ae1763317fd39c836cc358d5dd7","509c6ae1763317fd39c836cc358d5dd7","モーリーファンタジー湯川","函館市湯川町3-14-5イオン湯川店","","070-3100-4480","","","41.77759696 140.7940587","北海道"
"id_shop_ce986afe7b3d8c4e85cb70c099a517ec","ce986afe7b3d8c4e85cb70c099a517ec","ラウンドワン函館店","函館市西桔梗町848-11","","0138-49-8401","","","41.82459206 140.7173548","北海道"
"id_shop_3f17fee2138d4b4842cd67b21a292e1c","3f17fee2138d4b4842cd67b21a292e1c","モーリーファンタジー上磯","北斗市七重浜4-44-1イオン上磯1F","","070-3100-5478","","","41.82180269 140.7122673","北海道"
"id_shop_81896741837ce32da3cf6b94d9d0bb50","81896741837ce32da3cf6b94d9d0bb50","モーリーファンタジー名寄","名寄市字徳田80-1イオン名寄2F","","070-3100-7395","","","44.33843898 142.4525536","北海道"
"id_shop_97c2226797c241aca7618faf3d0c8c8b","97c2226797c241aca7618faf3d0c8c8b","モーリーファンタジー旭川パルプ","旭川市パルプ町1条2-505-2","","070-3100-4472","","","43.77458909 142.3844768","北海道"
"id_shop_8bca737af6c3cb0eeff2a69403329f86","8bca737af6c3cb0eeff2a69403329f86","ラウンドワン旭川店","旭川市永山3条1-4-7","","0166-49-5071","","","43.78651521 142.397308","北海道"
"id_shop_83e6cc05b60335d3bd89ea1569e29a51","83e6cc05b60335d3bd89ea1569e29a51","モーリーファンタジー旭川西","旭川市緑町23-2161-3イオン旭川西2F","","070-3100-3901","","","43.79395811 142.3258751","北海道"
"id_shop_416cb791a9d1e95eb6bd292cfb4be445","416cb791a9d1e95eb6bd292cfb4be445","遊ランド西御料店","旭川市西御料5条2-64-19","旭川環状線1号から美瑛・富良野方面へお進み下さいませ","0166-60-5050","平日12:00～翌3:00 金・土・祝前日11:00～翌5:00","無し","43.723884 142.368924","北海道"
"id_shop_93da39c68f297302b7061c9f0505eb51","93da39c68f297302b7061c9f0505eb51","モーリーファンタジー札幌桑園","札幌市中央区北8条西14-28イオン札幌桑園店2F","","070-3100-3955","","","43.06946033 141.3329163","北海道"
"id_shop_b6363a948e8f8d62caaa3cb55087f9f6","b6363a948e8f8d62caaa3cb55087f9f6","GiGOすすきの","札幌市中央区南3条西4-1-1","","080-4856-7703","","","43.05644251 141.3528308","北海道"
"id_shop_a653d257079fbce7e8d6596e1bbc4e5a","a653d257079fbce7e8d6596e1bbc4e5a","ラウンドワン札幌すすきの店","札幌市中央区南五条西3-6-1札幌東宝公楽ビル","","011-520-1022","","","43.05431311 141.3540587","北海道"
"id_shop_24f95c9fba2978e8781880425740035d","24f95c9fba2978e8781880425740035d","モーリーファンタジー麻生","札幌市北区北39条西4-1-5イオン札幌麻生店4F","","070-3100-4486","","","43.10740766 141.339721","北海道"
"id_shop_d8e76ce0023e0618a16c6dddef77cfef","d8e76ce0023e0618a16c6dddef77cfef","GiGO札幌駅西口","札幌市北区北6条西6-1-1WEST6","","080-7173-6552","","","43.06749301 141.3465097","北海道"
"id_shop_5ac588a469a86b069d5a90c8463ec64d","5ac588a469a86b069d5a90c8463ec64d","新さっぽろ店(ゲームコーナー)","札幌市厚別区厚別中央二条5-6-2新札幌アークシティdUo2内2F","","070-3100-3455","","","43.03898332 141.4724862","北海道"
"id_shop_b61d109b6b4301a5c9ba5d5c01b24a6c","b61d109b6b4301a5c9ba5d5c01b24a6c","キャッツアイ新札幌店","札幌市厚別区厚別東5条1-2-10","JR、札幌市営地下鉄新札幌駅下車徒歩20分","011-899-1500","10:00～24:00","無し","43.04493545 141.4754191","北海道"
"id_shop_df850b282063a9dbbe4c77487383e89d","df850b282063a9dbbe4c77487383e89d","モーリーファンタジー手稲山口","札幌市手稲区明日風6-1-1SuC1F","","070-3100-7383","","","43.14225261 141.2335497","北海道"
"id_shop_de967e1a41eac5fe2fdab8175c2c02be","de967e1a41eac5fe2fdab8175c2c02be","ラウンドワン札幌北21条店","札幌市東区北21条東1-1-21","","011-733-8801","","","43.08681907 141.3495671","北海道"
"id_shop_76d96d037c4e77899a98d352cdf17ca9","76d96d037c4e77899a98d352cdf17ca9","モーリーファンタジー札幌元町","札幌市東区北31条東15-1-1イオン札幌元町店3F","","070-3100-3640","","","43.1014858 141.3683567","北海道"
"id_shop_dc43044b580f19267a2d7b271e4eee9f","dc43044b580f19267a2d7b271e4eee9f","モーリーファンタジー札幌苗穂","札幌市東区東苗穂2条3-1-1イオン札幌苗穂2F","","070-3100-3970","","","43.08001605 141.4033171","北海道"
"id_shop_4a8d0fd815d2b2d6502813531223bc78","4a8d0fd815d2b2d6502813531223bc78","モーリーファンタジー札幌平岡","札幌市清田区平岡3条5-3-1イオン札幌平岡2F","","070-3100-3646","","","42.99707272 141.4585574","北海道"
"id_shop_3c6777c2d90eca527854deba4ab6adb6","3c6777c2d90eca527854deba4ab6adb6","ラウンドワン札幌白石本通店","札幌市白石区本通-16-北1-50","","011-865-8051","","","43.03673108 141.4328227","北海道"
"id_shop_e551898af774f039571b260fb63ac8e8","e551898af774f039571b260fb63ac8e8","モーリーファンタジー東札幌","札幌市白石区東札幌3-2-1イオン東札幌店2F","","070-3100-4484","","","43.05217189 141.3853485","北海道"
"id_shop_8e43f7a3645880a6c12d6ceb0367114f","8e43f7a3645880a6c12d6ceb0367114f","モーリーファンタジー札幌琴似","札幌市西区琴似2条4-2-2イオン札幌琴似店3F","","070-3100-4487","","","43.07670049 141.3028377","北海道"
"id_shop_feb4a1a3e35033b71c105defa1aebe03","feb4a1a3e35033b71c105defa1aebe03","モーリーファンタジー札幌発寒","札幌市西区発寒8条12-1-1イオン札幌発寒店3F","","070-3100-4063","","","43.09663704 141.2768118","北海道"
"id_shop_1b7f8a72cce7b11d0349ad763c228574","1b7f8a72cce7b11d0349ad763c228574","モーリーファンタジー中標津","標津郡中標津町南町3-10東武サウスヒルズ1F","","070-3100-4473","","","43.53540619 144.9776846","北海道"
"id_shop_537d771ab01f8aeb21da6f6a5c559674","537d771ab01f8aeb21da6f6a5c559674","PALO江別","江別市幸町35イオン江別3F","","070-3100-3727","","","43.09719169 141.5333123","北海道"
"id_shop_dabadc794e511aebd32bffe6ecafc87d","dabadc794e511aebd32bffe6ecafc87d","PALO滝川","滝川市東町2-29-1イオン滝川1F","","070-3100-4518","","","43.55413227 141.931124","北海道"
