id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude,
"id_shop_3406b6f43c2b87c3b06e423b44507ffd","3406b6f43c2b87c3b06e423b44507ffd","GiGO室蘭","室蘭市東町4-31-3","JR東室蘭駅下車徒歩15分","080-7434-6759","10:00～24:00","無し","42.34253462 141.026287",STD
"id_shop_353a4a59d5eccd8f0ffe4e5d17e5ee49","353a4a59d5eccd8f0ffe4e5d17e5ee49","GiGOドリームタウン白樺","帯広市白樺16条西2ドリームタウン白樺内","ドリームタウン白樺内","080-7422-4566","9:00～翌3:00","無し","42.91947724 143.174195",STD
"id_shop_eb1ac2a6427be9de2ab666378b52db94","eb1ac2a6427be9de2ab666378b52db94","ファンタジープラザ西帯広店","帯広市西21条南4-1MEGAドンキホーテ西帯広店2F","","0155-41-8940","","","42.91189058 143.1437886",STD
"id_shop_6edc28f8050808b65ebeba3c31855848","6edc28f8050808b65ebeba3c31855848","ファンタジープラザ旭川","旭川市春光1条8-1-65MEGAドン･キホーテ2F","","0166-53-3104","10:00～20:00","","43.79855422 142.3782868",STD
"id_shop_e4f8df8b2db348866fae8a6583af59e9","e4f8df8b2db348866fae8a6583af59e9","ビーカム成沢店","山形市成沢西5-3-27","ヤマザワ成沢店側","023-689-0366","10:00～24:00","無し","38.20856169 140.3177262",STD
"id_shop_c06095171d021afb4de4688402ae0dec","c06095171d021afb4de4688402ae0dec","HapipiLand福島店","福島市鎌田舟戸前14-1ドン･キホーテ福島店内","","070-1479-6751","","","37.7904 140.48908",STD
"id_shop_6281731b3725a62596eb43e151a803ba","6281731b3725a62596eb43e151a803ba","オレンジハット伊勢崎店","伊勢崎市北千木町1423","14号沿い日本ビーンズ工場向かい","0270-24-7751","10:00～24:00","無し","",STD
"id_shop_e43019e4186c5ee72e9893a17a9399a0","e43019e4186c5ee72e9893a17a9399a0","アクツベンディング","伊勢崎市東小保方1225-1","","0270-62-8525","一部24時間営業","無し","36.3241751 139.2621714",STD
"id_shop_5bf068de40b70218b32dbd448a47db46","5bf068de40b70218b32dbd448a47db46","MMC大胡西台店","前橋市堀越町234-1","上毛電鉄上毛線 江木駅徒歩15分","","10:00～24:00","無し","36.410946 139.141312",STD
"id_shop_c1879965eca0bb0acb21f8c9a306b0ce","c1879965eca0bb0acb21f8c9a306b0ce","常盤平ボウリングセンター","松戸市常盤平2-8-2","","047-388-0010","","","35.80294446 139.9501294",STD
"id_shop_80731e41e8a9310a63b57b2257b435cf","80731e41e8a9310a63b57b2257b435cf","ダイアナネオ","港区新橋2-16-1B1-65号","","03-3508-9803","","","35.666437 139.757272",STD
"id_shop_1ecdfe2ac60c0e8b603540ff35e44f53","1ecdfe2ac60c0e8b603540ff35e44f53","アミュージアムOSC店","練馬区東大泉2-34-1オズスタジオシティ2F","西武池袋線大泉学園駅徒歩15分。車で10分。OZスタジオシティ2F(LIVINOZ大泉向い)","03-5933-0880","10:00～24:00","無し","35.75234061 139.593591",STD
"id_shop_9c389562e8fdeba9a684ad84dd4b107a","9c389562e8fdeba9a684ad84dd4b107a","ポピー豊栄","新潟市北区内島見浦潟2545-2","国道8号線「競馬場IC」をおり県道3号線を左折。県道沿い右側。","025-386-1374","一部24時間営業","無し","",STD
"id_shop_7e21550c1ee4d6ff2e217efd10c8fe2b","7e21550c1ee4d6ff2e217efd10c8fe2b","ららぽーと","新潟市南区茨曽根2433","高速「巻潟東IC」より車で30分。ICをおり国道460号線より国道8号線を左折。国道沿い右側。","0256-88-7085","一部24時間営業","無し","",STD
"id_shop_77a03ad1a97999f9610adc8b3817f117","77a03ad1a97999f9610adc8b3817f117","メジャーロード見附店","見附市上新田町下野沖516-1","高速「中之島見附IC」より車で5分。国道8号線を北上し「今町」交差点先の右側。","0258-66-8080","10:00～24:00","無し","",STD
"id_shop_a5b1a2647f554cc6043d5b474d6630b9","a5b1a2647f554cc6043d5b474d6630b9","タカダバッティングセンター","富士市田島75-1","","0545-51-1189","店舗に直接お問い合わせください","無し","35.150984 138.695805",STD
"id_shop_c84c06f18d1cd7b8f9bd95ecc17d1ea2","c84c06f18d1cd7b8f9bd95ecc17d1ea2","楽市楽座022名古屋店1階","北名古屋市中之郷字神明45-1楽市街道名古屋店内","22号線バイパス沿い","0568-27-2622","10:00～24:00","無し","35.23957843 136.848742",STD
"id_shop_7e58691ab3d307b4bb5f42ad33def187","7e58691ab3d307b4bb5f42ad33def187","スイーツ･ハートイオン春日井店","春日井市柏井町4-17イオン春日井店内4F","","0568-41-9409","","","35.237945 136.962431",STD
"id_shop_b7e5d2e7259653ec5ef9d336f9b16d8b","b7e5d2e7259653ec5ef9d336f9b16d8b","サンガーデン津島","津島市柳原町1-4第2サンガーデン","","0567-25-1125","","","35.175759 136.734891",STD
"id_shop_f8aa88c09e6db128314092d9a49a92a8","f8aa88c09e6db128314092d9a49a92a8","アミューズメントPLABIトナリエ四日市店","四日市市安島1-3-31トナリエ四日市5F","","059-356-3385","","","34.96844971 136.6166023",STD
"id_shop_7b7f8a1c45eb72879121afd85e286edc","7b7f8a1c45eb72879121afd85e286edc","アミュージアム周南店","下松市中央町21-3ゆめタウン下松3F","JR下松駅から車で10分。THEMALL周南食遊館3階。","0833-44-3290","10:00～23:00","無し","34.01848693 131.8630744",STD
"id_shop_54aee64fa383a68e46b28f504d612b14","54aee64fa383a68e46b28f504d612b14","楽市楽座スーパードーム小川店","宇城市小川町河江1-1","3号線沿いダイヤモンドシティ熊本南店敷地内","0964-43-4500","10:00～24:00","無し","32.59734721 130.7066968",STD
"id_shop_52265ef827919feffcac0565312819c6","52265ef827919feffcac0565312819c6","ゲオ西原店","浦添市当山2-2-3","","098-871-0633","","無し","26.25259 127.736229",STD
"id_shop_2c3cb45cc820ffad61a73d71519e4c84","2c3cb45cc820ffad61a73d71519e4c84","ジョイジャングル石垣店","石垣市字真栄里239-18","","0980-83-4171","","","24.337219 124.180789",STD
