name,address,loc_id,latitude&longitude,pcb_count
"アミューズアイランド金沢","石川県 金沢市 福久 2-58　イオン金沢店3F","_VO1zsJwtlWHnvsymNsXmg","","","1"
"ファンタジープラザ金沢","石川県 金沢市 西泉 4-11　MEGAドン・キホーテ　ラパーク金沢店2F","TVO4uCV1hxhgRHOuUVfl9w","","","1"
"GiGO アルプラザ金沢","石川県 金沢市 諸江町 30-1　アル・プラザ金沢2F","WRKaPuLi44RCcBvVizd2bA","","","1"
"アミュージアム小松","石川県 小松市 園町 ハ23-1　アル・プラザ小松2F","VxpS3_r4IFVTT5ixj12z1Q","","","1"
"ゲームゾーン小松","石川県 小松市 平面町 ア69　イオン小松店1F","-LPBBOwE8VocOG0Bv0zB4w","","","1"
"モーリーファンタジー新小松","石川県 小松市 清六町 315　イオンモール新小松3F","TVs3R_C9NdtvefGQ6rZFJw","","","1"
"アミューズアイランド加賀の里","石川県 加賀市 上河崎町 47-1　イオン加賀の里店2F","gIWzGL9zmtOmJOSlVuQtyA","","","1"
"ゲームパークMECHA加賀","石川県 加賀市 作見町 ル25-1　アル・プラザ加賀2F","HirgllGvM3s2NYjRC-mRaw","","","1"
"モーリーファンタジーかほく","石川県 かほく市 内日角 タ25　イオンモールかほく　イオンかほく店2F","3852-qxMu4dNCqqHcdfHIg","","","1"
"ゲームゾーン松任","石川県 白山市 平松町 102-1　イオン松任店2F","3ekOqAzgIIjCTY9l8LvQ5w","","","1"
"モーリーファンタジー白山","石川県 白山市 横江町 5001　イオンモール白山　イオンスタイル白山店3F","K7Xp4XDcyTRbChmD23Lq3w","","","1"
"手取フィッシュランドゲームコーナーJOY PARK","石川県 能美市 粟生町 ツ58　手取フィッシュランド内","YX78tN7-Ws-b5-OTWJm54Q","","","1"
"ゲオ金沢御経塚","石川県 野々市市 御経塚 5-62","Yl8JDUMHsUkHyhLtxyHOww","","","1"
"アミュージアム津幡","石川県 河北郡津幡町 北中条 1-1　アル・プラザ津幡2F","p8ageckNW5EVTRn0-1NdPw","","","1"
"プラント津端","石川県 河北郡津幡町 庄 ヌ3","wLESU-sZG55GrWLxe-V4LQ","","","1"
"ゲオ津幡","石川県 河北郡津幡町 横浜へ 24-5","kHY7n1CHnaoC56KaPrOnMA","","","1"
"福井レジャーランド板垣","福井県 福井市 下馬 3-112","ZWyJV2AbZSs5k6Pw9Z3Izg","","","3"
"フクイレジャーランドワイプラザ","福井県 福井市 新保北 1-303　パワーシティフクイワイプラザB棟2F","WLk9eDt9x-cYYdo1xn80iQ","","","3"
"GiGO 福井","福井県 福井市 丸山 1-410","g_igsDbYN_nQ1wSbvORdzw","","","2"
"Let's Waku2 エルパ","福井県 福井市 大和田 2-1212　フェアモール福井　ラブリーパートナーLPA2F","kMwXaX4qC8RE4J7zaHivbA","","","2"
