id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude,
"id_shop_7e54864ff724b8cad7bf622c70ea1352","7e54864ff724b8cad7bf622c70ea1352","ビックバン函館","函館市梁川町9-3パボッツ函館3F","五稜郭公園前駅から徒歩5分","0138-54-7100","10:00～24:00","","41.78900071 140.7444508",HG
"id_shop_ce986afe7b3d8c4e85cb70c099a517ec","ce986afe7b3d8c4e85cb70c099a517ec","ラウンドワン函館店","函館市西桔梗町848-11","産業道路 西桔梗町 函館中央自動車学校様隣","0138-49-8401","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","41.82459206 140.7173548",HG
"id_shop_f21a05c7b71feb4159d619675597dcb5","f21a05c7b71feb4159d619675597dcb5","タイトーステーション千歳店","千歳市北栄2-12-5","千歳駅から札幌方面に徒歩10分","0123-42-4195","10:00-24:00","無し","42.833396 141.6439587",HG
"id_shop_b1aab9e72a53b34ffabbdb7cd214af0d","b1aab9e72a53b34ffabbdb7cd214af0d","遊ランド富良野店","富良野市弥生町5-50","富良野駅徒歩10分","0167-39-0123","13:00～翌1:00","無し","43.34423305 142.3786409",HG
"id_shop_c2edbf167ab4012e141361d9ed75239d","c2edbf167ab4012e141361d9ed75239d","カラオケルームキャッツアイ恵庭店","恵庭市住吉町2-9-1","JR恵庭駅下車徒歩20分","0123-32-1500","10:00～24:00","無し","42.87586684 141.5834741",HG
"id_shop_d09699e20526b401db16ca2e44416644","d09699e20526b401db16ca2e44416644","遊ランド春光店","旭川市春光1条7-2-25","JR旭川駅車20分","0166-55-3355","11:00～翌4:00","無し","43.798192 142.373983",HG
"id_shop_8bca737af6c3cb0eeff2a69403329f86","8bca737af6c3cb0eeff2a69403329f86","ラウンドワン旭川店","旭川市永山3条1-4-7","国道39号 永山3条1丁目","0166-49-5071","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","43.78651521 142.397308",HG
"id_shop_416cb791a9d1e95eb6bd292cfb4be445","416cb791a9d1e95eb6bd292cfb4be445","遊ランド西御料店","旭川市西御料5条2-64-19","旭川環状線1号から美瑛・富良野方面へお進み下さいませ","0166-60-5050","平日12:00～翌3:00 金・土・祝前日11:00～翌5:00","無し","43.723884 142.368924",HG
"id_shop_b8c2d2d06b5f9473b61bd91f4a16e769","b8c2d2d06b5f9473b61bd91f4a16e769","タイトーステーション札幌狸小路2丁目店","札幌市中央区南三条西2-14ニコービル","","011-213-1115","","","43.05729 141.355525",HG
"id_shop_a653d257079fbce7e8d6596e1bbc4e5a","a653d257079fbce7e8d6596e1bbc4e5a","ラウンドワン札幌すすきの店","札幌市中央区南五条西3-6-1札幌東宝公楽ビル","札幌市営地下鉄「すすきの駅」「豊水すすきの駅」より徒歩約2分","011-520-1022","6:00～23:50","無し","43.05431311 141.3540587",HG
