id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude
"id_shop_ce986afe7b3d8c4e85cb70c099a517ec","ce986afe7b3d8c4e85cb70c099a517ec","ラウンドワン函館店","函館市西桔梗町848-11","産業道路 西桔梗町 函館中央自動車学校様隣","0138-49-8401","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_8bca737af6c3cb0eeff2a69403329f86","8bca737af6c3cb0eeff2a69403329f86","ラウンドワン旭川店","旭川市永山3条1-4-7","国道39号 永山3条1丁目","0166-49-5071","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_a653d257079fbce7e8d6596e1bbc4e5a","a653d257079fbce7e8d6596e1bbc4e5a","ラウンドワン札幌すすきの店","札幌市中央区南五条西3-6-1札幌東宝公楽ビル","札幌市営地下鉄「すすきの駅」「豊水すすきの駅」より徒歩約2分","011-520-1022","6:00～23:50","無し","43.05431311 141.3540587"
"id_shop_d8e76ce0023e0618a16c6dddef77cfef","d8e76ce0023e0618a16c6dddef77cfef","MAXIM HERO","札幌市北区北6条西6-1-1","","011-219-2855","","",""
"id_shop_de967e1a41eac5fe2fdab8175c2c02be","de967e1a41eac5fe2fdab8175c2c02be","ラウンドワン札幌北21条店","札幌市東区北21条東1-1-21","[市営地下鉄南北線 北24条駅] 南北線北24条駅2番出口より北24条通り東へ430m。創成川通り(石狩街道)を東へ470m  徒歩約15分","011-733-8801","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","43.08681907 141.3495671"
"id_shop_3c6777c2d90eca527854deba4ab6adb6","3c6777c2d90eca527854deba4ab6adb6","ラウンドワン札幌白石本通店","札幌市白石区本通-16-北1-50","札幌市営地下鉄東西線「南郷18丁目」駅より徒歩約10分","011-865-8051","10:00～24:00","無し",""
"id_shop_4cf50d6440cafda84b960a8159d61d89","4cf50d6440cafda84b960a8159d61d89","ユーズランド下田店","上北郡おいらせ町中野平40-1イオンモール下田1F","イオン下田SC1・2FJR下田駅よりバスで10分八戸市より車で約15km、三沢市より車で約15km","0178-50-3237","10:00～22:00","無し","40.60188383 141.4176032"
"id_shop_f857152de32c6da3f2deb458963e593c","f857152de32c6da3f2deb458963e593c","ラウンドワン青森店","青森市浜田3-1-1","青森自動車道 青森中央IC下車 浜田ドリームタウンアリー内","017-762-3591","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_818902a2b5381048708e16b4a9b92326","818902a2b5381048708e16b4a9b92326","チャットタウン北上店","北上市北鬼柳19地割71パルショッピングセンター2F","","0197-65-3929","","","39.2931265 141.0916951"
"id_shop_2c446cb47c1959b6b7b387c541f5c8c4","2c446cb47c1959b6b7b387c541f5c8c4","ラウンドワン盛岡店","盛岡市盛岡駅西通2-10-35","盛岡駅 西口すぐ","019-654-9011","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_4849b02f89f69504e072941c1aa5dd5b","4849b02f89f69504e072941c1aa5dd5b","スーパーノバイオン仙台中山","仙台市泉区南中山1-35-57イオン仙台中山店別館3F","","022-347-3139","","","38.299061 140.828497"
"id_shop_61ab9402ef3b52689fcfcbc2bcf04976","61ab9402ef3b52689fcfcbc2bcf04976","ゲームコーナー東部","仙台市若林区六丁の目中町26-60","六丁目の交差点より多賀城方面へ向かい車で5分。産業通り沿い。","022-287-5880","9:00～24:00","無し","38.25101621 140.9438974"
"id_shop_5949cea6aa4154f939b395b5b703f154","5949cea6aa4154f939b395b5b703f154","スーパーノバ仙台一番町","仙台市青葉区一番町4-5-13サンシャインビル1F","","022-393-6746","","","38.26424 140.87121"
