ken,mise,basyo
"北海道","ディノスパーク札幌手稲","北海道札幌市手稲区前田1条11丁目西友手稲店3F"
"北海道","ディノスパーク帯広","北海道帯広市白樺16条西2丁目ドリームタウン白樺内"
"北海道","ディノスパーク室蘭","北海道室蘭市東町4丁目31番3号"
"北海道","ディノスパーク苫小牧","北海道苫小牧市柳町3丁目1番20号イオンモール苫小牧内"
"北海道","ラウンドワン函館店","北海道函館市西桔梗町８４８－１"
"北海道","ラウンドワン旭川店","北海道旭川市永山三条１－４－７"
"北海道","ラウンドワン札幌北２１条店","北海道札幌市東区北２１条東１－１－２１"
"北海道","ラウンドワン札幌すすきの店","北海道札幌市中央区南五条西3-6-1"
"北海道","キャッツアイ新札幌店","北海道札幌市厚別区厚別東五条1-2-10"
"北海道","キャッツアイ清田店","北海道札幌市清田区清田１条１−２０−１"
"北海道","キャッツアイ新川店","北海道札幌市北区新川二条7丁目1-7"
"北海道","キャッツアイ東苗穂店","北海道札幌市東区東苗穂6条2丁目1-25"
"北海道","キャッツアイ苫小牧駅前店","北海道苫小牧市木場町１丁目3−2"
"北海道","キャッツアイ宮の沢","北海道札幌市手稲区西宮の沢５条２丁目１１−１５"
"北海道","ｎａｍｃｏ札幌エスタ店","北海道札幌市中央区北5条西2-1-1札幌エスタ9F"
"北海道","タイトーステーション 札幌狸小路２丁目店","北海道札幌市中央区南３条西２丁目−１４"
"北海道","ソユーゲームフィールド旭川西店","北海道旭川市緑町23-2161-3イオンモール旭川西3F"
"北海道","ソユーゲームフィールド発寒店","北海道札幌市西区発寒8条12丁目1番1号　イオン札幌発寒3F"
"北海道","ソユーゲームフィールド旭川駅前店","北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F"
"北海道","ＢＩＧＢＡＮＧ北見店","北海道北見市中央三輪7丁目４４６−１"
"北海道","ＢＩＧＢＡＮＧ函館","北海道函館市梁川町９−３テキサスビル３Ｆ"
"北海道","ＢＩＧＢＡＮＧ室蘭","北海道室蘭市中島本町２−８−１"
"北海道","ＢＩＧＢＡＮＧ釧路","北海道釧路郡釧路町木場２−１"
"北海道","MAXIM HERO","北海道札幌市北区北六条西6丁目1-1　鉄道高架下"
"青森県","GiGO弘前","青森県弘前市末広1-3-3"
"青森県","GiGO八戸","青森県八戸市城下4-25-14"
"青森県","ラウンドワン青森店","青森県青森市浜田３－１－１"
"青森県","スペースファンタジーインフィニ","青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ"
"青森県","ユーズランド下田店","青森県上北郡おいらせ町中野平４０−１イオンモール下田内１Ｆ"
"岩手県","ラウンドワン盛岡店","岩手県盛岡市盛岡駅西通２－１０－３５"
"岩手県","Ｇ３ポロスイオンタウン北上店","岩手県北上市里分四地割２０番地１"
"岩手県","ソユーファミリーゲームフィールド花巻店","岩手県花巻市高木第１６地割６８−６　銀河モール花巻内"
"岩手県","ソユーゲームフィールド盛岡南店","岩手県盛岡市本宮7-1-1ｲｵﾝﾓｰﾙ盛岡南1F"
"岩手県","ソユーゲームフィールド釜石店","岩手県釜石市港町２−１−１イオンタウン釜石店３F"
"岩手県","ＢＩＮＧＯ一関","岩手県一関市山目字中野９２−１"
"宮城県","GiGO仙台","宮城県仙台市青葉区中央2-5-5三経60ビル"
"宮城県","GiGO名取","宮城県名取市飯野坂字土城堀57-1"
"宮城県","ラウンドワン仙台苦竹店","宮城県仙台市宮城野区苦竹１－７－１０"
"宮城県","ゲームコーナー東部","宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F"
"宮城県","スーパーノバ仙台利府","宮城県宮城郡利府町加瀬字新前谷地５５−１"
"宮城県","スーパーノバイオン仙台中山店","宮城県仙台市泉区南中山１−３５−５７イオン仙台中山別館３Ｆ"
"宮城県","スーパーノバ仙台一番町店","宮城県仙台市青葉区一番町４丁目５番１３号サンシャインビル１階"
"宮城県","タイトーステーション 仙台名掛丁店","宮城県仙台市青葉区中央１−７−１３"
"宮城県","ゲームフィールド仙台長町店","宮城県仙台市太白区長町７丁目２０番３号ザ・モール仙台長町店３階"
"宮城県","ソユーゲームフィールド古川店","宮城県大崎市古川沢田字筒場浦１５番地イオンタウン古川内"
"宮城県","THE 3RD PLANET BiVi仙台店","宮城県仙台市宮城野区榴岡2-1-25"
"宮城県","ＧＡＭＥＢＡＮＫ仙台泉店","宮城県仙台市泉区大沢２−５−４"
"秋田県","GiGO秋田","秋田県秋田市茨島1-1-16"
"秋田県","ラウンドワン秋田店","秋田県秋田市卸町１－１－２"
"秋田県","ソユーゲームフィールド御所野店","秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F"
"秋田県","ソユープレイランドソピアいとくアクロス能代店","秋田県能代市字寺向70いとくアクロス能代店内"
