name,address,loc_id,latitude&longitude,pcb_count
"ラウンドワン札幌すすきの","北海道 札幌市中央区 南五条西 3-6-1","DEcah2oynr8vD325wTaU9A","43.054536 141.354524",18
"GiGO 札幌駅西口","北海道 札幌市北区 北六条西 6　JR高架下","H57iUkDJXydOoqQFnN4QYQ","43.067531 141.34628",12
"キャッツアイ新川","北海道 札幌市北区 新川二条 7-1-7","9dmK49ay3c7RIMpk-bBIiw","43.100736 141.310272",9
"キャッツアイ新札幌","北海道 札幌市厚別区 厚別東五条 1　ホーマックスーパーデポ厚別東店横","JUZEMwMT_gsRUleEjU5IVQ","43.045268 141.475797",9
"アドアーズ札幌北42条","北海道 札幌市東区 北四十二条東 7-1-1　ドン・キホーテ北42条店2F","WPMRbdk-NXkwkyFw5mLNsw","43.112034 141.355326",9
"キャッツアイ清田","北海道 札幌市清田区 清田一条 1-20-1","hzWMFmJ3s3CoA1QAK-ThLA","43.002843 141.436304",9
"タイトーステーション札幌狸小路2丁目","北海道 札幌市中央区 南三条 西2-14　ニコービル","tgNdKGtqlA5hY25gmz9oNQ","43.057336 141.355453",7
"ラウンドワンスタジアム札幌北21条","北海道 札幌市東区 北二十一条東 1-1-21","FRVHpQMTAClhOqqm7Xsoyg","43.086887 141.34985",7
"ラウンドワンスタジアム函館","北海道 函館市 西桔梗町 848-11","TZAv1Nmcw3ocBewGVGXf0Q","41.82459 140.71745",7
"アミューズメントスペース遊ランド春光","北海道 旭川市 春光一条 7-2-25　第2ダイワビル2F","Xaqa-MmVS9DlDnuG3vkdbw","43.798197 142.374036",6
"キャッツアイ篠路","北海道 札幌市北区 篠路一条 4-6-30","33DTOzj56Wb2izvCHfVmig","43.140652 141.357191",5
"ゲームランド新さっぽろ","北海道 札幌市厚別区 厚別中央二条 5-7　新さっぽろアークシティ　カテプリ新さっぽろ3F","vjFsQO-W_EKqzoDeiiCykg","43.037441 141.472478",5
"GiGO イオン札幌手稲駅前ショッピングセンター","北海道 札幌市手稲区 前田一条 11　イオン札幌手稲駅前SC3F","CAmHkgAgtF5dCI2-sk82TQ","43.120345 141.245427",5
"キャッツアイ宮の沢","北海道 札幌市手稲区 西宮の沢五条 2-11-15","oEw6stYrCEqfRdwtKPiNPg","43.096392 141.257657",5
"キャッツアイ東苗穂","北海道 札幌市東区 東苗穂六条 2-1-25","DepRnL1pBoinmWvKZ52Ivw","43.092377 141.406961",5
"ラウンドワンスタジアム札幌・白石本通","北海道 札幌市白石区 本通 16-北1-50","aMdTukaIq7whaUbaJhnUPw","43.036928 141.432887",5
"ラウンドワンスタジアム旭川","北海道 旭川市 永山三条 1-4-7","_xdOEjTFE2umwHG2jRUxhw","43.786538 142.397245",5
"MEGAGET室蘭","北海道 室蘭市 中島本町 2-8-1","BgY_GS2c9t7eqkjL14dthQ","42.353406 141.014425",5
"GiGO ドリームタウン白樺","北海道 帯広市 白樺十六条西 2　ドリームタウン白樺内","9ywxD-5JxPNbA3XlsZFoLA","42.919499 143.174171",5
"GiGO 帯広稲田","北海道 帯広市 稲田町南8線西 12-1　帯広スズランボウル内","g5K6N5O-KFCmrfgORVlYFg","42.890206 143.19646",5
"BIG BANG 北見","北海道 北見市 中央三輪 7-446-1","CCc6opAOJGrvleAYeQKaSw","43.796972 143.851408",5
"GiGO 北見","北海道 北見市 西三輪 5-1-16","PoWlJgBqNwCsLsuArkaLgQ","43.796546 143.842546",5
"キャッツアイ苫小牧駅前","北海道 苫小牧市 木場町 1-3","0IK3bKfL2v_auvhqGFwS0g","42.64178 141.598406",5
