店名,場所
プラサカプコン吉祥寺店,東京都武蔵野市吉祥寺本町1-10-1いなりやビルB1F
シルクハット　蒲田西口,東京都大田区西蒲田７−２−３第二醍醐ビル地下１階〜２階
シルクハット　八王子,東京都八王子市旭町２−５　八王子ツインタワービル３階
Ｈｅｙ,東京都千代田区外神田１−１０−５廣瀬本社ビル１階〜４階
タイトーステーション 池袋西口店,東京都豊島区西池袋１−１５−９第一西池ビル
タイトーステーション上野御徒町店,東京都台東区上野４−６−９湯島商事ビル
アピナ荻窪店,東京都杉並区上荻１−１３−１０ハクサンビル
ゲームサファリ池袋,東京都豊島区東池袋1-42-3 2F
ゲームサファリ大山,東京都板橋区大山東町60-10やすだ大山駅前店2F
ドットコム葛西,東京都江戸川区中葛西３−３５−５
ＧｉＧＯ秋葉原１号館,東京都千代田区外神田１−１０ー９
ＧｉＧＯ渋谷宮益坂,東京都渋谷区渋谷１−１４−１４ＥＳＴ１階・７階
ＧｉＧＯ新宿西口,東京都新宿区西新宿１−１２−５Ｂ１Ｆ・１Ｆ
新宿スポーツランド本館,東京都新宿区新宿3-22-12
ＧｉＧＯ大森,東京都大田区山王２−１−５大森駅ララビル２Ｆ
ＧｉＧＯ秋葉原３号館１,東京都千代田区外神田１−１１−１１外神田１丁目ビルディング
ＧｉＧＯ町田,東京都町田市原町田６−１３ー１７アーバンミサワビルＢ１
ＧｉＧＯ赤羽駅前,東京都北区赤羽１−２−４
ゲームプラザセントラル八王子店,東京都八王子市東町12-15第5セントラル
ドラマ八王子高倉店,東京都八王子市高倉町55-4
ドラマ瑞穂店,東京都西多摩郡瑞穂町武蔵382-1
東京レジャーランド亀有店,東京都葛飾区亀有3-21-2
タイトーＦステーションオリナス錦糸町店,東京都墨田区太平4-1-2オリナスモール地下1F
ゲームパニック新宿歌舞伎町,東京都新宿区歌舞伎町1-20-1　ﾋｭｰﾏｯｸｽﾊﾟﾋﾞﾘｵﾝ1階2階
ラウンドワン南砂店,東京都江東区南砂６−７−１５トピレックプラザ４Ｆ
ラウンドワン町田店,東京都町田市森野１−１３−１４
ラウンドワン板橋店,東京都板橋区相生町１６−１３
ラウンドワン府中本町駅前,東京都府中市本町１−１３−３カネタビル
ラウンドワン吉祥寺店,東京都武蔵野市吉祥寺本町1-11-22
ＣＬＵＢ　ＥＸＡ,東京都立川市羽衣町２丁目７－３小川ビル１階
イミグランデ日吉店,神奈川県横浜市港北区日吉２−２−４
イミグランデ溝口店,神奈川県川崎市高津区溝口１−１４−７　第二カスタムビル
シルクハット川崎モアーズ,神奈川県川崎市川崎区駅前本町７番地　岡田屋モアーズ１・２階
シルクハット　伊勢佐木町,神奈川県横浜市中区伊勢佐木町３—９６日活会館３階
シルクハット　横須賀中央,神奈川県横須賀市若松町１−５プライムビル２階
シルクハット　川崎ダイス,神奈川県川崎市川崎区駅前本町８番地ダイスビル地下２階
シルクハット　大船,神奈川県鎌倉市大船１−２４　大船駅前ビル１〜３Ｆ
タイトーステーション溝の口,神奈川県川崎市高津区溝口１−１１−８ＯＫＫＡ６３４ビル３階
タイトーステーション 戸塚西口店,神奈川県横浜市戸塚区戸塚町４０２３
タイトーステーション 横浜西口五番街店,神奈川県横浜市西区南幸１−１２ー９
アピナ橋本店,神奈川県相模原市緑区西橋本５−１−１ラ・フロール駐車場棟１階
ＧｉＧＯ綱島,神奈川県横浜市港北区綱島西２−６−２９
タイトーFステーション向ヶ丘遊園店,神奈川県川崎市多摩区登戸2718-1
ドラマ藤沢店,神奈川県藤沢市本藤沢5-6-8
ドラマ港北インター店,神奈川県横浜市都筑区東方町321-6
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸２−８−１６
カプコサーカス新潟東店,新潟県新潟市東区大形本町３−１−２　ジャスコシティ新潟東
メジャーロード24,新潟県見附市今町4-20-568-1
ゲームセンターテクノポリス,新潟県長岡市要町1-8-50
タイトーＦステーション上越店,新潟県上越市富岡3524 J-MAXシアター内1F
ラウンドワン新潟店,新潟県新潟市中央区美咲町２−１−３８
アピナ富山豊田店,富山県富山市豊田町２丁目１２−６６
アピナ富山南店,富山県富山市堀川町３５５−３　マイプラザ内
ゲームスポットアップル,富山県魚津市吉島二丁目４０７−１
トヤマレジャーランド呉羽店,富山県富山市高木字貝塚2054
バイパスレジャーランド藤江本館,石川県金沢市藤江南2-41
バイパスレジャーランド加賀店,石川県加賀市箱宮町ヲ1-1
ラウンドワン金沢店,石川県金沢市横川6-120-1
福井レジャーランド板垣店,福井県福井市下馬３−１０２
プラサカプコン甲府店,山梨県中巨摩郡昭和町西条字北河原３７１７
ゲームパニック甲府,山梨県甲府市国母5-20-24
ラウンドワン長野店,長野県長野市大字東和田８２７番地６
ゲームハウスアリババ,岐阜県大垣市池尻町９４０−１
ゲームゾーン各務原店,岐阜県各務原市鵜沼各務原町５−２８６ ペタルビル１Ｆ
Ａ．Ｃ．グランド,岐阜県岐阜市茜部大川1-77
岐阜レジャーランド穂積店,岐阜県瑞穂市稲里630番地
アップル新北街道店,静岡県静岡市葵区沓谷5-13-4
アップル島田店,静岡県島田市宝来町8-5
ACT御殿場店,静岡県御殿場市東山字石橋296-1
アピナ浜松店,静岡県浜松市中区葵西２−２７−１０
ジョイランドアミューズ諏訪店,静岡県沼津市大諏訪２０−２
タイトーＦステーション静岡,静岡県静岡市葵区呉服町２−５−４　ふしみや第２ビル
THE 3RD PLANET OZ浜松店,静岡県浜松市東区宮竹町322-1
THE 3RD PLANET BiVi沼津店,静岡県沼津市大手町1-1-5
ラウンドワン富士店,静岡県富士市八代町４−１５
ラウンドワン浜松店,静岡県浜松市東区天王町諏訪１９８１−１７
M's PARK豊田店,愛知県豊田市寿町３−２１、２２
M's PARK刈谷店,愛知県刈谷市稲場町３−２０６
ＡＤＸマミー岡崎店,愛知県岡崎市井田新町６−１
コムテックタワー,愛知県名古屋市中村区名駅４−１０−２０
コムテックスクウェア,愛知県名古屋市中区金山1-16-8
コムテックプラザ赤池,愛知県日進市赤池１−２９０１
ＡＤＸマミー春日井Ｒ１５５出川店,愛知県春日井市不二ヶ丘１丁目５番地
半田メトロポリス,愛知県半田市旭町３−１１−１
ゲーム キングジョイ,愛知県名古屋市中区栄3-3-32
タイトーステーション 大須店,愛知県名古屋市中区大須３−２０−７
タイトーステーションフェドラ大須店,愛知県名古屋市中区大須３−３０−３１
ＧｉＧＯ金山,愛知県名古屋市熱田区金山１−１９ー２
アミューズメントプラザ　マルシン,愛知県刈谷市池田町4-609
ＧｉＧＯ豊橋飯村,愛知県豊橋市飯村町字西山２５−１２１
名古屋レジャーランド大高店,愛知県名古屋市緑区忠治山201番地
名古屋レジャーランド内田橋店,愛知県名古屋市南区内田橋2-26-22
楽市街道 名古屋店,愛知県北名古屋市中之郷新明４５−１
ラウンドワン鳴海店,愛知県名古屋市緑区鳴海町杜若２８
ラウンドワン中川１号線店,愛知県名古屋市中川区法蔵町２−２３
ラウンドワン半田店,愛知県半田市瑞穂町６−７−８
ラウンドワン豊橋店,愛知県豊橋市大岩町字岩田２７−２
ゲームチャオ松阪店,三重県松阪市船江町７８０
ドリームキャンディ,三重県伊賀市小田町７１１−１
アピナ四日市店,三重県四日市市泊小柳町４−３４
プレビ　トナリエ四日市,三重県四日市市安島１−３−３１トナリエ５階
ＧｉＧＯ生桑,三重県四日市市生桑町字川原崎２９９−１
ラウンドワンみえ川越インターチェンジ店,三重県三重郡川越町南福崎８５１−１
ラウンドワン津・高茶屋店,三重県津市高茶屋小森町２７７−８
ACT草津ACTION,滋賀県草津市野路町1161-1
ゲームディーノ彦根店,滋賀県彦根市西沼波町１６６
エースレーン堅田,滋賀県大津市今堅田２−４０−１０
滋賀レジャーランド大津店,滋賀県大津市におの浜３−１−４３　イオンタウンアヤハプラザ内
タイトーFステーション　イオン近江八幡店,滋賀県近江八幡市鷹飼町南3-3-7
プレイランドキング円町店,京都府京都市中京区西ノ京西円町40
あそＶＩＶＡゲームセンター,京都府福知山市字堀小字下高田２１４６−１
サープラ京都あそびタウン,京都府京都市中京区西ノ京栂尾町107
ラウンドワン京都河原町店,京都府京都市中京区河原町通三条下ル山崎町２５０
モンキートリック,大阪府寝屋川市香里南之町32-5　YNレジデンス香里2F
関大前フタバボウル,大阪府吹田市千里山東１−７−１８
Ｇ−ｐａｌａあべの,大阪府大阪市阿倍野区阿倍野筋３−１０−１あべのベルタ２Ｆ
エンジョイパラダイス,大阪府東大阪市長栄寺７−３パーラーメトロ永和店２Ｆ
ゲームディーノ阪急茨木店,大阪府茨木市永代町５ ソシオビルＢ１
あそＶＩＶＡ阪急茨木店,大阪府茨木市永代町６−２スポーツプラザ茨木２Ｆ
ｎａｍｃｏ梅田店,大阪府大阪市北区小松原町３−３ＯＳビル２Ｆ
ＧｉＧＯ難波アビオン,大阪府大阪市浪速区難波中２−３−１５　ＭＭＯビルＢ１Ｆ〜３Ｆ
ＧｉＧＯ布施,大阪府東大阪市長堂1-1-1ロンモール布施内
ハイテクランドセガ西中島,大阪府大阪市淀川区西中島3-16-8深井センタービル1・2F
ＧｉＧＯ大阪第４ビル,大阪府大阪市北区梅田１−１１−４駅前第４ビルＢ１Ｆ
ＧｉＧＯあべのアポロ３階,大阪府大阪市阿倍野区阿倍野筋１−５−３１アポロビル３Ｆ
ゲームパニック堺,大阪府堺市堺区築港八幡町1番地堺浜ｼｰｻｲﾄﾞｽﾃｰｼﾞ内堺浜ｴﾝﾀﾒ館
ラウンドワン堺中央環状店,大阪府堺市東区石原町２−２４１
ラウンドワン千日前店,大阪府大阪市中央区難波１−３−１
遊スペース マジカル,兵庫県神戸市中央区琴ノ緒町５−２−３
プレイステーションネーブル西宮店,兵庫県西宮市両度町6-10
ゲームアイビス太子店,兵庫県揖保郡太子町太田2149
ラウンドワン加古川店,兵庫県加古川市尾上町安田325番6号
ラウンドワン伊丹店,兵庫県伊丹市昆陽７丁目２９
ラウンドワン姫路飾磨店,兵庫県姫路市飾磨区中島１−２５４
アミューズメントＣＵＥ奈良大和高田店,奈良県大和高田市東中２−１１−１６
ピタゴラス和歌山,和歌山県和歌山市土入７３−１
アミパラがいな店,鳥取県米子市日ノ出町１−８−１３
ＧｉＧＯ松江,島根県松江市嫁島町１２−１５
ファンタジスタ,岡山県倉敷市新倉敷駅前５−１９４
アミパラテクノランド店,岡山県岡山市北区大和町１−７−１２
アミパラ倉敷店,岡山県倉敷市西中新田624-1アミパラボウル1F
アミパラ岡山店,岡山県岡山市北区青江１丁目１３−８
ラウンドワン岡山妹尾店,岡山県岡山市南区妹尾３４１３−１
タイトーステーション 広島紙屋町店,広島県広島市中区紙屋町２−２−２１
アミパラここじゃ店,広島県東広島市西条町下見６−１０−１９
アミパラ神辺店,広島県福山市神辺町大字新道上字１−２−１
ビバーチャ,広島県広島市中区南竹屋町１０−１７
フタバ図書アルティランド,広島県広島市西区草津南４−７−１　アルパーク北棟２Ｆ
ラウンドワン広島店,広島県広島市中区立町３−１１
アミパラ下関店,山口県下関市長府才川１−４２−４８
フレスパランドカッタの湯,山口県宇部市海南町1675
ラウンドワン徳島・万代店,徳島県徳島市万代町４−１９−１
ＧｉＧＯ高松,香川県高松市勅使町535
ラウンドワン高松店,香川県高松市松島町２−７−４３
アミューズメントパークＭＧ伊予三島,愛媛県四国中央市中之庄町７５−１　アイランド三島内
ラウンドワン高知店,高知県高知市南宝永町４−１２
ｎａｍｃｏ博多バスターミナル店,福岡県福岡市博多区博多駅中央街２−１博多バスターミナル７階
タイトーステーション 福岡天神店,福岡県福岡市中央区天神２−６−３５サザンクロスビル
ペップ魚町,福岡県北九州市小倉北区魚町２−４−２０
楽市街道箱崎店,福岡県福岡市東区箱崎５丁目１番８号
楽市楽座福重店,福岡県福岡市西区石丸４−２６３−１
ラウンドワン福岡天神店,福岡県福岡市中央区天神２−６−１２
ラウンドワン小倉店,福岡県北九州市小倉北区西港町15-65
ラウンドワン大野城店,福岡県大野城市御笠川１−１８−１６
ラウンドワン佐賀店,佐賀県佐賀市兵庫北４−２−１
G-stage浜町,長崎県長崎市浜町2-26
リッチモンド,熊本県八代市旭中央通２０−３
スポラ九品寺,熊本県熊本市中央区九品寺5丁目10-15
ラウンドワン熊本店,熊本県熊本市西区春日7-25-15
ラウンドワン宮崎店,宮崎県宮崎市中村東３−４−６０
タイトーＦステーションニシムタ出水店,鹿児島県出水市六月田町３４７番地
ラウンドワン鹿児島宇宿店,鹿児島県鹿児島市宇宿2-2-2
